"pkgname";"pkgver";"arch";"pkgrel";"location";"dep";"sizeC";"sizeU";"Desc"
"alsa-lib";"1.0.24.1";"x86_64";"1";"/slackware64/l";"";"396 K";"1700 K";" alsa-lib (Advanced Linux Sound Architecture library) The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. This is the ALSA library (libasound) which is used by audio applications. For more information, see http://alsa-project.org"
"alsa-oss";"1.0.17";"x86_64";"1";"/slackware64/l";"";"32 K";"110 K";" alsa-oss (library/wrapper to use OSS programs with ALSA) The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. OSS (Open Sound System) is an older sound system for Linux that ALSA is replacing. Using the aoss wrapper you can use programs that only support OSS with ALSA without having to load the OSS compatibility kernel modules."
"alsa-utils";"1.0.24.2";"x86_64";"1";"/slackware64/ap";"";"952 K";"1980 K";" alsa-utils (Advanced Linux Sound Architecture utilities) The Advanced Linux Sound Architecture (ALSA) provides audio and MIDI functionality to the Linux operating system. This package contains command line audio utilities for use with ALSA: alsactl (manage soundcard settings) arecord/aplay (capture and play audio) amixer (adjust mixer settings from the command line) alsamixer (an ncurses-based console mixer) For more information, see http://alsa-project.org"
"amarok";"2.4.0";"x86_64";"1";"/slackware64/kde";"";"12904 K";"43170 K";" amarok (music player) Amarok is a music player for Linux and Unix with an intuitive interface. Amarok makes playing the music you love easier than ever before -- and looks good doing it. Amarok's home page is: http://amarok.kde.org"
"amp";"0.7.6";"x86_64";"1";"/slackware64/ap";"";"44 K";"120 K";" amp (An MP3 player) amp (Audio Mpeg Player) is a command-line MPEG audio decoder (MP3 player). It works with both MPEG1 and MPEG2 audio streams (except for the multichannel extensions defined in MPEG2), layers 2 and 3."
"anthy";"9100h";"x86_64";"1";"/slackware64/x";"";"4980 K";"24350 K";" anthy (a system for Japanese input method) Anthy is a library for Japanese text input. It converts Hiragana text to Kana Kanji mixed text. anthy home: http://anthy.sourceforge.jp/"
"apmd";"3.2.2";"x86_64";"3";"/slackware64/a";"";"60 K";"200 K";" apmd (Advanced Power Management daemon) apmd is an APM monitoring daemon, and works in conjunction with the APM BIOS driver in the kernel. Apmd (and the included tools) handle tasks such as automatically putting a laptop into suspend when the power level drop below a certain point. This package also includes the graphical power management tools xapm and xbattery. The apmd tools were written by Rik Faith and are maintained by Avery Pennarun. xbattery was written by Nathan Sidwell."
"appres";"1.0.3";"x86_64";"1";"/slackware64/x";"";"16 K";"50 K";" appres appres is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"apr";"1.4.2";"x86_64";"2";"/slackware64/l";"";"212 K";"960 K";" apr (Apache Portable Runtime) The mission of the Apache Portable Runtime (APR) is to provide a free library of C data structures and routines, forming a system portability layer to as many operating systems as possible."
"apr-util";"1.3.10";"x86_64";"1";"/slackware64/l";"";"116 K";"470 K";" apr-util (Apache Portable Runtime utilities) The mission of the Apache Portable Runtime (APR) is to provide a free library of C data structures and routines, forming a system portability layer to as many operating systems as possible. This package contains additional utility interfaces for APR; including support for XML, LDAP, database interfaces, URI parsing, and more."
"ash";"0.4.0";"x86_64";"2";"/slackware64/ap";"";"84 K";"170 K";" ash (Kenneth Almquist's ash shell) A lightweight (92K) Bourne compatible shell. Great for machines with low memory, but does not provide all the extras of shells like bash, tcsh, and zsh. Runs most shell scripts compatible with the Bourne shell. Note that under Linux, most scripts seem to use at least some bash-specific syntax. The Slackware setup scripts are a notable exception, since ash is the shell used on the install disks. NetBSD uses ash as its /bin/sh."
"aspell";"0.60.6";"x86_64";"1";"/slackware64/l";"";"584 K";"3190 K";" aspell (spell checker) GNU Aspell is a spell checker designed to eventually replace Ispell. It can either be used as a library or as an independent spell checker."
"aspell-en";"6.0_0";"noarch";"4";"/slackware64/l";"";"1072 K";"3550 K";" aspell-en GNU Aspell 0.60 English Dictionary Package."
"at";"3.1.12";"x86_64";"1";"/slackware64/ap";"";"44 K";"130 K";" at (delayed command execution) at and batch read shell commands from standard input (or a specified file) storing them as a job to be scheduled for execution at a later time. The 'at' command was written by David Parsons and Thomas Koenig."
"atk";"1.32.0";"x86_64";"1";"/slackware64/l";"";"240 K";"2200 K";" atk (accessibility functions library) atk is a library of accessibility functions that is used by the GTK+-2 toolkit."
"attica";"0.1.4";"x86_64";"1";"/slackware64/l";"";"120 K";"550 K";" attica (Qt Collaboration library) Attica is a Qt library that implements the freedesktop.org specification for the Open Collaboration Services API version 1.4. It grants easy access to the services such as querying information about persons and contents. Homepage: http://www.kde.org"
"attr";"2.4.45";"x86_64";"1";"/slackware64/a";"";"76 K";"240 K";" attr (tools for using extended attributes on filesystems) This package contains a set of tools for manipulating extended attributes (name:value pairs associated permanently with files and directories) on filesystem objects, and the library and header files needed to develop programs which make use of extended attributes. Extended attributes are used to provide additional functionality to a filesystem. For example, Access Control Lists (ACLs) are implemented using extended attributes. Homepage: http://savannah.nongnu.org/projects/attr"
"audacious";"2.4.4";"x86_64";"1";"/slackware64/xap";"";"428 K";"1810 K";" audacious (A relatively powerful media player) Audacious is a media player, based on Beep Media Player, which is in turn based on the X Multimedia System (XMMS). It is used to play audio and other kinds of media files. By default Audacious can play MPEG audio, Ogg Vorbis, RIFF wav, most module formats, and a few other formats. Audacious can be extended through plugins to play a number of other audio and video formats. The webpage for Audacious is: http://www.audacious-media-player.org."
"audacious-plugins";"2.4.4";"x86_64";"1";"/slackware64/xap";"";"1364 K";"5580 K";" audacious-plugins (Plugins used by the Audacious media player) This is a collection of plugins for Audacious to support additional media formats. The webpage for Audacious is: http://www.audacious-media-player.org."
"audiofile";"0.2.7";"x86_64";"1";"/slackware64/l";"";"124 K";"690 K";" audiofile (audio support library) Audiofile is a library to handle various audio file formats, and is used by the esound daemon. You can also use it to develop your own audiofile applications."
"aumix";"2.9.1";"x86_64";"1";"/slackware64/ap";"";"60 K";"230 K";" aumix (GTK+/ncurses audio mixer) This is a program for adjusting audio mixers from the command line or scripts, or interactively at the console or a terminal with a full-screen, ncurses-based interface or a GTK-based X interface."
"autoconf";"2.68";"noarch";"1";"/slackware64/d";"";"704 K";"2390 K";" autoconf (generate configuration scripts) GNU autoconf is an extensible package of m4 macros that produce shell scripts to automatically configure software source code packages. These scripts can adapt the packages to many kinds of UNIX-like systems without manual user intervention. Autoconf creates a configuration script for a package from a template file that lists the operating system features that the package can use, in the form of m4 macro calls. You must install the 'm4' package to be able to use autoconf."
"autofs";"5.0.5";"x86_64";"1";"/slackware64/n";"";"304 K";"1640 K";" autofs (kernel-based automounter) autofs is a kernel-based automounter for Linux. It performs a job similar to amd(8) but relies on a small stub of kernel code instead of pretending to be an NFS server. The result is simpler code, better reliability, and much faster operation in the common case (everything already mounted.)"
"automake";"1.11.1";"noarch";"2";"/slackware64/d";"";"564 K";"1710 K";" automake (a Makefile generator) This is Automake, a Makefile generator. It was inspired by the 4.4BSD make and include files, but aims to be portable and to conform to the GNU standards for Makefile variables and targets. Automake is a Perl script. The input files are called Makefile.am. The output files are called Makefile.in; they are intended for use with Autoconf. Automake requires certain things to be done in your configure.in. You must install the 'm4' and 'perl' packages to be able to use automake."
"automoc4";"0.9.88";"x86_64";"1";"/slackware64/l";"";"28 K";"90 K";" automoc4 (automatic moc for Qt4) This package contains the automoc4 binary which is used to run moc on the right source files in a Qt 4 or KDE 4 application. Moc is the meta object compiler which is a widely used tool with Qt and creates standard C++ files to provide syntactic sugar of the signal/slots mechanism. See also http://www.kde.org"
"babl";"0.1.2";"x86_64";"1";"/slackware64/l";"";"72 K";"280 K";" babl (pixel format translation library) babl is a dynamic, any to any, pixel format translation library. It allows converting between different methods of storing pixels known as pixel formats that have with different bitdepths and other data representations, color models and component permutations. A vocabulary to formulate new pixel formats from existing primitives is provided as well as the framework to add new color models and data types. "
"bash";"4.1.010";"x86_64";"1";"/slackware64/a";"";"948 K";"3770 K";" bash (sh-compatible shell) The GNU Bourne-Again SHell. Bash is a sh-compatible command interpreter that executes commands read from the standard input or from a file. Bash also incorporates useful features from the Korn and C shells (ksh and csh). Bash is ultimately intended to be a conformant implementation of the IEEE Posix Shell and Tools specification (IEEE Working Group 1003.2). Bash must be present for the system to boot properly."
"bc";"1.06.95";"x86_64";"2";"/slackware64/ap";"";"104 K";"270 K";" bc (An arbitrary precision calculator language) bc is an arbitrary precision numeric processing language. Syntax is similar to C, but differs in many substantial areas. It supports interactive execution of statements. bc is a utility included in the POSIX P1003.2/D11 draft standard. The GNU version of bc was written by Philip A. Nelson."
"bdftopcf";"1.0.3";"x86_64";"1";"/slackware64/x";"";"16 K";"50 K";" bdftopcf bdftopcf is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"beforelight";"1.0.4";"x86_64";"1";"/slackware64/x";"";"16 K";"60 K";" beforelight beforelight is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"biff+comsat";"0.17";"x86_64";"1";"/slackware64/n";"";"12 K";"40 K";" biff+comsat (mail arrival notification daemon) Comsat is the server process which receives reports of incoming mail and notifies users if they have requested this service. 'biff' is the program that requests comsat service 'biff y', and may be placed in a user's startup file if they'd like to hear a beep and trash their console with each new piece of junk mail. ;-) Biff was the name of Heidi Stettner's dog, who barked when the mailman came. Biff was well known to many of the early BSD developers living in Evans Hall at U.C. Berkeley."
"bigreqsproto";"1.1.1";"noarch";"1";"/slackware64/x";"";"16 K";"70 K";" bigreqsproto bigreqsproto is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"bin";"11.1";"x86_64";"1";"/slackware64/a";"";"44 K";"200 K";" bin (some command-line utilities) The bin package is a collection of miscellaneous command-line utilities. Some of these (such as 'tempfile') are used in system scripts."
"bind";"9.7.3";"x86_64";"2";"/slackware64/n";"";"1836 K";"6910 K";" bind (DNS server and utilities) The named daemon and support utilities such as dig, host, and nslookup. Sample configuration files for running a simple caching nameserver are included. Documentation for advanced name server setup can be found in /usr/doc/bind-9.x.x/."
"binutils";"2.21.51.0.6";"x86_64";"1";"/slackware64/d";"";"3204 K";"16370 K";" binutils (GNU binary development tools) Binutils is a collection of binary utilities. It includes 'as' (the portable GNU assembler), 'ld' (the GNU linker), and other utilities for creating and working with binary programs. These utilities are REQUIRED to compile C, C++, Objective-C, Fortran, and most other programming languages."
"bison";"2.4.3";"x86_64";"2";"/slackware64/d";"";"432 K";"1490 K";" bison (parser generator similar to yacc) GNU 'Bison' is a general-purpose parser generator that converts a grammar description for an LALR(1) context-free grammar into a C program to parse that grammar. Bison is upward compatible with Yacc: all properly-written Yacc grammars ought to work with Bison with no change. Anyone familiar with Yacc should be able to use Bison with little trouble."
"bitmap";"1.0.5";"x86_64";"1";"/slackware64/x";"";"64 K";"200 K";" bitmap bitmap is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"blackbox";"0.70.1";"x86_64";"4";"/slackware64/xap";"";"296 K";"1010 K";" blackbox (Blackbox window manager) Blackbox is that fast, light window manager you have been looking for without all those annoying library dependencies. Also included in this package is the bbkeys utility for controlling keyboard shortcut commands from within Blackbox. The Blackbox home page is http://blackboxwm.sourceforge.net"
"blueman";"r708";"x86_64";"1";"/slackware64/xap";"";"532 K";"3540 K";" Blueman (Graphical Bluetooth Manager) Blueman is a GTK+ Bluetooth Manager for tasks such as: - Connecting to 3G/EDGE/GPRS via DUN profile. - Connecting to/Creating bluetooth networks - Connecting to input and audio devices - Sending/Receiving/Browsing files via OBEX - Pairing Homepage: http://blueman-project.org"
"bluez";"4.91";"x86_64";"1";"/slackware64/n";"";"512 K";"1920 K";" bluez (Bluetooth libraries and utilities) Bluez is the Bluetooth stack for Linux, allowing Bluetooth adaptors and devices to be used with Linux. This package contains the Bluez libraries, utilities, and other support files. For more info, visit: http://www.bluez.org"
"bluez-firmware";"1.2";"x86_64";"1";"/slackware64/n";"";"76 K";"170 K";" bluez-firmware (Bluetooth(TM) firmware) The bluez-firmware package contains firmware needed by various chipsets to support Bluetooth(TM) on Linux. For more info, visit: http://www.bluez.org"
"bluez-hcidump";"2.0";"x86_64";"1";"/slackware64/n";"";"96 K";"280 K";" bluez-hcidump (Bluetooth analyzer) The bluez-hcidump package contains a network analyzer for Bluetooth. This utility (hcidump) utility reads raw HCI data coming from and going to a Bluetooth device and prints commands, events and data. For more info, visit: http://www.bluez.org"
"boost";"1.45.0";"x86_64";"1";"/slackware64/l";"";"5284 K";"63440 K";" boost (Boost C++ Libraries) Boost provides free peer-reviewed portable C++ source libraries. The emphasis is on libraries that work well with the C++ Standard Library. One goal is to establish 'existing practice' and provide reference implementations so that the Boost libraries are suitable for eventual standardization. Homepage: http://www.boost.org/"
"bootp";"2.4.3";"x86_64";"2";"/slackware64/n";"";"56 K";"170 K";" bootp (BOOTP server) This is an enhanced version of the CMU BOOTP server which was derived from the original BOOTP server created by Bill Croft at Stanford. BOOTP allows a network administrator to setup networking information for clients via an /etc/bootptab on a server so that the clients can automatically get their networking information."
"bpe";"2.01.00";"x86_64";"2";"/slackware64/ap";"";"48 K";"120 K";" bpe (Binary Patch Editor) bpe is a simple, screen-oriented editor for searching and editing ordinary files in either ASCII or hexadecimal modes. bpe was written by Andreas Pleschutznig. Bill Davidsen contributed additional features, as did Ralphe Neill (the current maintainer)."
"bridge-utils";"1.4";"x86_64";"1";"/slackware64/n";"";"32 K";"110 K";" bridge-utils (network Ethernet bridging utilities) This package contains utilities for configuring Linux Ethernet bridges. The Linux Ethernet bridge can be used for connecting multiple Ethernet devices together. The connecting is fully transparent. Hosts connected to one Ethernet device see hosts connected through a bridge to the other Ethernet devices directly. bridge-utils was written by Stephen Hemminger and Lennert Buytenhek."
"bsd-finger";"0.17";"x86_64";"1";"/slackware64/n";"";"20 K";"60 K";" bsd-finger (user information lookup program) The finger displays information about the system users. Finger displays the user's login name, real name, terminal name and write status (as a ``*'' after the terminal name if write permission is denied), idle time, login time, office location and office phone number. As fingerd leaks semi-private information about your machine's usernames and other data, fingerd should be used with caution. Allow machines on a need-to-know basis."
"bsd-games";"2.13";"x86_64";"11";"/slackware64/y";"";"1724 K";"5710 K";" bsd-games (Classic BSD text games collection) Games that go in /usr/games: adventure arithmetic atc backgammon banner battlestar bcd caesar canfield cfscores countmail cribbage factor fish fortune gomoku hangman hunt mille monop morse number phantasia pig pom ppt primes quiz rain random robots rot13 sail snake snscore teachgammon trek wargames worm worms wump Adds a call to 'fortune' to /etc/profile.d/ so that users will get a fortune message when they log in."
"btrfs-progs";"20110327";"x86_64";"1";"/slackware64/a";"";"148 K";"1100 K";" btrfs-progs (Btrfs filesystem utilities) Btrfs is a new copy on write filesystem for Linux aimed at implementing advanced features while focusing on fault tolerance, repair and easy administration. Initially developed by Oracle, Btrfs is licensed under the GPL and open for contribution from anyone. Btrfs is under heavy development, and is not suitable for any uses other than benchmarking and review. The Btrfs disk format is not yet finalized. Btrfs homepage: http://btrfs.wiki.kernel.org"
"bzip2";"1.0.6";"x86_64";"1";"/slackware64/a";"";"132 K";"560 K";" bzip2 (a block-sorting file compressor) Bzip2 compresses files using the Burrows-Wheeler block sorting text compression algorithm, and Huffman coding. Compression is generally considerably better than that achieved by more conventional LZ77/LZ78- based compressors, and approaches the performance of the PPM family of statistical compressors. Julian Seward jseward@acm.org is the author of bzip2."
"ca-certificates";"20090814";"noarch";"1";"/slackware64/n";"";"116 K";"360 K";" ca-certificates (PEM Files of CA Certificates) This package includes PEM files of CA certificates to allow SSL-based applications to check for the authenticity of SSL connections. Homepage: http://packages.qa.debian.org/c/ca-certificates.html"
"cairo";"1.10.2";"x86_64";"2";"/slackware64/l";"";"536 K";"2920 K";" cairo (graphics library used by GTK+) Cairo is a vector graphics library designed to provide high-quality display and print output. Cairo is designed to produce identical output on all output media while taking advantage of display hardware acceleration when available (eg. through the X Render Extension or OpenGL)."
"ccache";"3.1.4";"x86_64";"1";"/slackware64/d";"";"80 K";"210 K";" ccache (a fast compiler cache) ccache is a compiler cache. It speeds up re-compilation of C/C++ code by caching previous compiles and detecting when the same compile is being done again. ccache was written by Andrew Tridgell."
"cdparanoia";"III_10.2";"x86_64";"1";"/slackware64/ap";"";"100 K";"410 K";" cdparanoia (digital audio extraction tool) cdparanoia is a Compact Disc Digital Audio (CDDA) extraction tool, commonly known on the net as a 'ripper'. It reads digital audio data from a Compact Disc and saves it to sound files. cdparanoia has been designed to read correct audio data even using cheap CD-ROM drives prone to misalignment, frame jitter and loss of streaming. cdparanoia will also read and repair data from CDs that have been damaged in some way."
"cdrdao";"1.2.3";"x86_64";"1";"/slackware64/ap";"";"288 K";"1250 K";" cdrdao (CD burning utility) cdrdao burns proper disc-at-once (DAO) audio discs. In DAO mode the disc is written in one shot, so you don't have to have irritating 2 second gaps interrupting a live recording."
"cdrtools";"3.01a02";"x86_64";"1";"/slackware64/ap";"";"832 K";"4020 K";" cdrtools (CD-R, ISO and related tools) Tools for mastering and writing compact discs. cdda2wav -- CD audio sampling utility. cdrecord -- burn discs in most ATAPI and SCSI CD-R drives. mkisofs -- create ISO9660/HFS/Joliet CD-ROM images. mkzftree -- compress a file tree to make a compressed CD-ROM."
"chmlib";"0.40";"x86_64";"2";"/slackware64/l";"";"36 K";"190 K";" chmlib (library for accessing CHM files) chmlib is a small library designed for accessing MS ITSS files. The ITSS file format is used for Microsoft Html Help files (.chm), which have been the predominant medium for software documentation from Microsoft during the past several years, having superceded the previously used .hlp file format. Homepage: http://www.jedrea.com/chmlib/"
"clisp";"2.49";"x86_64";"1";"/slackware64/d";"";"2748 K";"19980 K";" clisp (a Common Lisp implementation) Common Lisp is a high-level, general-purpose programming language. GNU CLISP is a Common Lisp implementation by Bruno Haible of Karlsruhe University and Michael Stoll of Munich University, both in Germany. It mostly supports the Lisp described in the ANSI Common Lisp standard. The user interface comes in German, English, French, Spanish, Dutch and Russian. GNU CLISP includes an interpreter, a compiler, a debugger, a large subset of CLOS, a foreign language interface and a socket interface. An X11 interface is available through CLX and Garnet."
"clucene";"0.9.21b";"x86_64";"1";"/slackware64/l";"";"380 K";"2540 K";" clucene (Text-Search Engine) CLucene is a C++ port of Lucene. It is a high-performance, full-featured text search engine written in C++. Homepage: http://clucene.sourceforge.net"
"cmake";"2.8.4";"x86_64";"1";"/slackware64/d";"";"4712 K";"36040 K";" CMake (cross-platform, open-source make system) CMake is used to control the software process using simple platform and compiler independed configuration files. CMake generates native makefiles and workspaces that can be used in the compiler environment of your choice. CMake's home on the web is: http://www.cmake.org"
"compiz";"0.8.8";"x86_64";"1";"/slackware64/x";"";"792 K";"5360 K";" compiz compiz is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"compositeproto";"0.4.2";"noarch";"1";"/slackware64/x";"";"16 K";"70 K";" compositeproto compositeproto is part of X11. For more information about the X.Org Foundation (the providers of the X.Org implementation of the X Window System), see their website: http://www.x.org"
"coreutils";"8.11";"x86_64";"1";"/slackware64/a";"";"2156 K";"13110 K";" coreutils (core GNU utilities) These are the GNU core utilities, the basic command line programs such as 'mkdir', 'ls', and 'rm' that are needed for the system to run. This package is the union of the GNU fileutils, sh-utils, and textutils packages. Most of these programs have significant advantages over their Unix counterparts, such as greater speed, additional options, and fewer arbitrary limits."
"cpio";"2.11";"x86_64";"1";"/slackware64/a";"";"184 K";"830 K";" cpio (backup and archiving utility) This is GNU cpio, a program to manage archives of files. This package also includes mt, a tape drive control program. cpio copies files into or out of a cpio or tar archive, which is a file that contains other files plus information about them, such as their pathname, owner, timestamps, and access permissions. The archive can be another file on the disk, a magnetic tape, or a pipe."
"cpufrequtils";"008";"x86_64";"1";"/slackware64/a";"";"36 K";"160 K";" cpufrequtils (Kernel CPUfreq utilities) The cpufrequtils package makes access to the Linux kernel CPUfreq subsystem easier for users and cpufreq userspace tools. It contains a library used by other programs (libcpufreq), and command line tools to determine current CPUfreq settings and to modify them. Dominik Brodowski is the cpufrequtils maintainer. The cpufrequtils page is hosted on kernel.org: http://www.kernel.org/pub/linux/utils/kernel/cpufreq/cpufreq.html"
"crda";"1.1.1";"x86_64";"1";"/slackware64/n";"";"16 K";"70 K";" crda (Central Regulatory Domain Agent) This is the Central Regulatory Domain Agent for Linux. It serves one purpose: tell the Linux kernel what to enforce. In essence, it is a udev helper for communication between the kernel and userspace. You only need to run this manually for debugging purposes. http://wireless.kernel.org/download/crda/ "
"cryptsetup";"1.2.0";"x86_64";"1";"/slackware64/a";"";"120 K";"460 K";" cryptsetup (utility for setting up encrypted filesystems) LUKS is a standard for cross-platform hard disk encryption. It provides secure management of multiple userpasswords and stores setup information in the partition header. LUKS for dm-crypt is now implemented in cryptsetup replacing the original cryptsetup. It provides all the functionally of the original version plus all LUKS features. cryptsetup home: http://code.google.com/p/cryptsetup/"
"cscope";"15.7a";"x86_64";"1";"/slackware64/d";"";"104 K";"380 K";" cscope (source code browsing tool) Cscope is a text screen based source browsing tool. Although it is primarily designed to search C code (including lex and yacc files), it can also be used for C++ code. For more information, see http://cscope.sourceforge.net."
"cups";"1.4.6";"x86_64";"1";"/slackware64/a";"";"2052 K";"12350 K";" CUPS (Common UNIX Printing System) The Common UNIX Printing System provides a portable printing layer for UNIX(R)-like operating systems. It has been developed by Easy Software Products to promote a standard printing solution for all UNIX vendors and users. CUPS uses the Internet Printing Protocol ('IPP') as the basis for managing print jobs and queues. The CUPS package includes System V and Berkeley command-line interfaces, a PostScript RIP package for supporting non-PostScript printer drivers, and tools for creating additional printer drivers and other CUPS services."
